epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,839.226,1.68877,1.41665,1.31304,0.58621,0.45546,0.46579,0.19113,2.0225,1.69041,1.56808,0.000424187,0.000424187,0.000424187
43,859.263,1.69359,1.39678,1.3186,0.50121,0.41933,0.421,0.17167,1.99557,1.75838,1.52211,0.000417119,0.000417119,0.000417119
44,879.267,1.68119,1.37634,1.30367,0.47615,0.45867,0.43323,0.17585,2.03746,1.77363,1.54618,0.00041005,0.00041005,0.00041005
45,899.219,1.64335,1.37649,1.28034,0.59606,0.44023,0.44934,0.19044,1.97279,1.66845,1.50853,0.000402982,0.000402982,0.000402982
46,919.234,1.66985,1.37822,1.29886,0.51367,0.43847,0.44807,0.17841,1.93508,1.71884,1.52649,0.000395913,0.000395913,0.000395913
47,939.198,1.63785,1.32073,1.27608,0.55035,0.46068,0.46865,0.18121,1.96291,1.77237,1.53264,0.000388844,0.000388844,0.000388844
48,959.233,1.60633,1.2945,1.26971,0.52447,0.48134,0.46977,0.19079,1.96054,1.68605,1.52422,0.000381776,0.000381776,0.000381776
49,979.222,1.6558,1.32764,1.28261,0.55939,0.44388,0.4594,0.19731,1.99173,1.60715,1.54078,0.000374707,0.000374707,0.000374707
50,999.266,1.60389,1.28126,1.26338,0.59313,0.45766,0.48204,0.18456,1.91298,1.63565,1.54191,0.000367639,0.000367639,0.000367639
51,1018.87,1.62142,1.29612,1.26929,0.64184,0.41609,0.47133,0.20151,1.95415,1.65673,1.54125,0.00036057,0.00036057,0.00036057
52,1039.44,1.60821,1.29928,1.2773,0.58358,0.46093,0.46209,0.18921,1.95536,1.64332,1.54161,0.000353501,0.000353501,0.000353501
53,1059.15,1.60072,1.26622,1.25856,0.67789,0.47867,0.50473,0.20101,1.95642,1.65254,1.51388,0.000346433,0.000346433,0.000346433
54,1078.88,1.59411,1.27808,1.26267,0.5754,0.4698,0.46514,0.1927,1.97196,1.72496,1.52871,0.000339364,0.000339364,0.000339364
55,1098.71,1.56705,1.2343,1.24231,0.58766,0.43352,0.46719,0.19356,1.96781,1.67842,1.52027,0.000332296,0.000332296,0.000332296
56,1118.38,1.59032,1.24597,1.23979,0.6833,0.44869,0.49601,0.19837,1.96273,1.60468,1.50783,0.000325227,0.000325227,0.000325227
